"READ_CODE","DESCRIPTION","VERSION","ANTIBIOTICS"
yz4it,MOXIFLOXACIN 0.5% eye drops ...  ... ,"3","1"
yz4iz,PREDNISONE 5mg m/r tablets ...  ... ,"3","0"
Yamny,Cefaclor RAST test ...  ... ,"3","1"
y00iq,Methylprednisol acet 120mg inj ... Methylprednisolone acet 120mg injection ... ,"3","0"
Y72qb,Erythromycin poisoning ...  ... ,"3","1"
Yalr0,Cefalexin adverse reaction ...  ... ,"3","1"
y0Aoa,Amoxil Fiztab ...  ... ,"3","1"
yz77T,CEFUROXIME 50mg pdr inj ... CEFUROXIME 50mg powder for solution for injection ... ,"3","1"
Yalo7,Cefalexin overdose ...  ... ,"3","1"
y033c,Hydrocortis ac 1% eye oint ... Hydrocortisone acetate 1% eye ointment ... ,"3","0"
y033i,Minims Prednisolone 0.5% e/d ... Minims Prednisolone 0.5% single-use eye drops ... ,"3","0"
y0AsZ,Deltacortril Enteric ...  ... ,"3","0"
y0Egq,Amoxicillin [2] ...  ... ,"3","1"
y0Egt,Amoxicillin 125mg/5mL s/f susp ... Amoxicillin 125mg/5mL s/f oral suspension ... ,"3","1"
